DateTime,WindSpeed,WindDirection,ActivePower_kW,PredictedPower_kW,Source
01 01 2018 00:00,5.311,416.329,380.048,0.000,CSV
04 01 2018 06:50,7.978,216.913,1523.793,1417.339,MQTT
01 01 2018 00:10,5.672,519.918,453.769,422.180,CSV
01 01 2018 00:20,5.216,390.900,306.377,298.392,CSV
01 01 2018 00:30,5.660,516.128,419.646,391.956,CSV
01 01 2018 00:40,5.578,491.703,380.651,412.579,CSV
01 01 2018 00:50,5.604,499.436,402.392,459.420,CSV
01 01 2018 01:00,5.793,557.372,447.606,449.969,CSV
01 01 2018 01:10,5.306,414.898,387.242,302.467,CSV
01 01 2018 01:20,5.585,493.678,463.651,424.054,CSV
01 01 2018 01:30,5.523,475.707,439.726,402.124,CSV
01 01 2018 01:40,5.724,535.841,498.182,464.665,CSV
01 01 2018 01:50,5.934,603.014,526.816,598.563,CSV
01 01 2018 02:00,6.547,824.663,710.587,693.564,CSV
01 01 2018 02:10,6.200,693.473,655.194,640.063,CSV
01 01 2018 02:20,6.505,808.098,754.763,682.595,CSV
01 01 2018 02:30,6.634,859.459,790.173,634.142,CSV
01 01 2018 02:40,6.379,759.435,742.985,648.581,CSV
01 01 2018 02:50,6.447,785.281,748.230,633.783,CSV
01 01 2018 03:00,6.415,773.173,736.648,656.170,CSV
01 01 2018 03:10,6.438,781.771,787.246,660.738,CSV
01 01 2018 03:20,6.220,700.765,722.864,646.702,CSV
01 01 2018 03:30,6.898,970.737,935.033,829.144,CSV
01 01 2018 03:40,7.610,1315.049,1220.609,1100.350,CSV
01 01 2018 03:50,7.288,1151.266,1053.772,1083.106,CSV
01 01 2018 04:00,7.943,1497.584,1493.808,1275.395,CSV
01 01 2018 04:10,8.376,1752.200,1724.488,1447.107,CSV
01 01 2018 04:20,8.237,1668.471,1636.935,1434.164,CSV
01 01 2018 04:30,7.880,1461.816,1385.488,1003.484,CSV
01 01 2018 04:40,7.101,1062.285,1098.932,895.929,CSV
01 01 2018 04:50,6.955,995.996,1021.458,844.793,CSV
01 01 2018 05:00,7.098,1060.860,1164.893,954.436,CSV
01 01 2018 05:10,6.954,995.251,1073.332,779.254,CSV
01 01 2018 05:20,7.250,1132.417,1165.308,951.201,CSV
01 01 2018 05:30,7.295,1154.365,1177.990,1035.472,CSV
01 01 2018 05:40,7.376,1194.843,1170.536,966.254,CSV
01 01 2018 05:50,7.449,1231.431,1145.536,762.916,CSV
01 01 2018 06:00,7.239,1127.433,1114.027,1019.633,CSV
01 01 2018 06:10,7.329,1171.355,1153.185,1058.142,CSV
01 01 2018 06:20,7.140,1080.139,1125.331,859.685,CSV
01 01 2018 06:30,7.474,1244.634,1228.732,1016.769,CSV
01 01 2018 06:40,7.033,1030.993,1021.793,973.194,CSV
01 01 2018 06:50,6.886,965.683,957.378,831.560,CSV
01 01 2018 07:00,6.888,966.279,909.888,804.806,CSV
01 01 2018 07:10,7.216,1116.472,1000.954,838.636,CSV
01 01 2018 07:20,7.069,1047.170,1024.478,921.207,CSV
01 01 2018 07:30,6.938,988.452,1009.534,709.157,CSV
01 01 2018 07:40,6.537,820.417,899.493,750.585,CSV
01 01 2018 07:50,6.181,686.637,725.110,584.709,CSV
01 01 2018 08:00,5.817,564.928,585.259,458.185,CSV
01 01 2018 08:10,5.450,454.774,443.914,376.905,CSV
01 01 2018 08:20,5.818,565.349,565.254,511.619,CSV
01 01 2018 08:30,6.130,668.824,644.038,614.340,CSV
01 01 2018 08:40,6.347,747.461,712.059,551.014,CSV
01 01 2018 08:50,6.347,747.595,737.395,656.455,CSV
01 01 2018 09:00,6.194,691.546,725.868,382.989,CSV
01 01 2018 09:10,4.977,330.418,408.997,201.880,CSV
01 01 2018 09:20,5.959,611.284,628.437,478.711,CSV
01 01 2018 09:30,6.211,697.650,716.101,652.712,CSV
01 01 2018 09:40,6.111,662.235,711.496,644.806,CSV
01 01 2018 09:50,6.456,789.011,838.152,519.139,CSV
01 01 2018 10:00,6.667,872.740,881.062,781.417,CSV
01 01 2018 10:10,6.163,680.328,663.703,600.492,CSV
01 01 2018 10:20,6.013,628.443,578.262,490.326,CSV
01 01 2018 10:30,5.561,486.780,465.620,381.367,CSV
01 01 2018 10:40,4.961,326.411,311.051,278.015,CSV
01 01 2018 10:50,4.604,244.316,230.056,170.333,CSV
01 01 2018 11:00,4.555,233.633,233.991,194.365,CSV
01 01 2018 11:10,4.264,173.574,175.592,136.370,CSV
01 01 2018 11:20,3.894,108.571,118.133,86.574,CSV
01 01 2018 11:30,4.039,130.230,142.203,117.188,CSV
01 01 2018 11:40,4.506,223.197,212.566,140.018,CSV
01 01 2018 11:50,4.543,231.243,222.610,129.949,CSV
01 01 2018 12:00,4.324,185.599,194.181,166.506,CSV
01 01 2018 12:10,3.634,68.503,82.641,50.803,CSV
01 01 2018 12:20,3.706,78.396,75.895,17.526,CSV
01 01 2018 12:30,3.254,29.287,41.947,8.926,CSV
01 01 2018 12:40,3.775,88.871,118.535,69.684,CSV
01 01 2018 12:50,4.694,264.119,250.756,91.606,CSV
01 01 2018 13:00,5.003,336.722,346.864,196.834,CSV
01 01 2018 13:10,5.365,430.921,416.418,351.091,CSV
01 01 2018 13:20,5.016,339.985,331.942,291.898,CSV
01 01 2018 13:30,5.970,615.056,583.480,589.718,CSV
01 01 2018 13:40,6.656,868.181,776.553,855.698,CSV
01 01 2018 13:50,6.601,846.029,752.726,754.068,CSV
01 01 2018 14:00,5.981,618.731,589.073,579.407,CSV
01 01 2018 14:10,7.425,1219.200,1109.128,1136.340,CSV
01 01 2018 14:20,8.186,1638.509,1482.460,1485.032,CSV
01 01 2018 14:30,8.275,1691.147,1523.430,1411.127,CSV
01 01 2018 14:40,8.449,1796.763,1572.170,1569.613,CSV
01 01 2018 14:50,8.576,1875.047,1698.940,1527.105,CSV
01 01 2018 15:00,8.282,1695.539,1616.846,1581.981,CSV
01 01 2018 15:10,8.735,1974.476,1796.824,1058.259,CSV
01 01 2018 15:20,8.764,1993.171,1885.861,1266.991,CSV
01 01 2018 15:30,9.669,2568.827,2327.512,1773.885,CSV
01 01 2018 15:40,10.141,2876.754,2499.162,2436.665,CSV
01 01 2018 15:50,10.772,3186.030,2820.513,2788.235,CSV
01 01 2018 16:00,10.648,3133.259,2812.279,2707.826,CSV
01 01 2018 16:10,9.983,2781.274,2530.447,2223.577,CSV
01 01 2018 16:20,9.874,2711.492,2399.121,2379.129,CSV
01 01 2018 16:30,9.785,2651.341,2335.588,1301.614,CSV
01 01 2018 16:40,9.614,2527.946,2341.133,1815.444,CSV
01 01 2018 16:50,9.619,2531.148,2391.848,2067.139,CSV
01 01 2018 17:00,9.099,2207.793,2118.390,1621.363,CSV
01 01 2018 17:10,8.677,1938.479,1866.846,1894.960,CSV
01 01 2018 17:20,8.775,2000.012,1865.619,1658.783,CSV
01 01 2018 17:30,8.690,1946.374,1862.448,1691.293,CSV
01 01 2018 17:40,8.631,1909.416,1884.119,1676.331,CSV
01 01 2018 17:50,8.615,1899.101,1855.777,1691.293,CSV
01 01 2018 18:00,9.219,2285.917,1958.133,2002.241,CSV
01 01 2018 18:10,10.050,2822.510,2228.243,2409.273,CSV
01 01 2018 18:20,10.319,2974.867,2529.291,2643.365,CSV
01 01 2018 18:30,10.767,3183.722,2788.257,2625.223,CSV
01 01 2018 18:40,10.558,3093.111,2692.930,2693.585,CSV
01 01 2018 18:50,10.251,2938.395,2535.353,2606.902,CSV
01 01 2018 19:00,10.465,3048.824,2584.665,2336.110,CSV
01 01 2018 19:10,11.391,3393.646,2960.183,2962.651,CSV
01 01 2018 19:20,11.566,3437.597,3062.978,3079.487,CSV
01 01 2018 19:30,11.280,3362.669,3024.392,2926.456,CSV
04 01 2018 23:50,6.629,17.226,873.481,803.600,MQTT
05 01 2018 00:00,6.555,12.580,845.205,736.517,MQTT
05 01 2018 00:10,6.395,9.429,837.064,679.703,MQTT
05 01 2018 00:20,6.797,4.962,949.494,905.174,MQTT
05 01 2018 04:40,5.626,12.996,474.061,448.313,MQTT
05 01 2018 04:50,5.394,12.514,415.150,334.059,MQTT
05 01 2018 05:00,5.457,12.408,435.026,332.806,MQTT
05 01 2018 06:10,4.131,25.044,110.312,123.458,MQTT
05 01 2018 07:10,4.143,52.067,112.034,117.600,MQTT
05 01 2018 08:00,3.735,69.540,55.445,43.505,MQTT
05 01 2018 08:10,3.310,74.864,22.781,17.393,MQTT
05 01 2018 09:10,1.936,75.031,0.000,0.000,MQTT
05 01 2018 09:20,1.757,73.655,0.000,0.000,MQTT
05 01 2018 09:30,1.542,65.501,0.000,0.000,MQTT
05 01 2018 09:50,2.062,44.939,0.000,0.000,MQTT
05 01 2018 10:00,2.059,40.332,0.000,0.000,MQTT
05 01 2018 10:10,2.154,36.038,0.000,0.000,MQTT
05 01 2018 10:20,2.047,56.552,0.000,-0.002,MQTT
05 01 2018 10:40,0.839,64.336,0.000,0.000,MQTT
05 01 2018 10:50,1.287,30.201,0.000,0.000,MQTT
05 01 2018 11:00,1.371,24.338,0.000,0.000,MQTT
05 01 2018 11:10,2.464,307.582,0.000,0.006,MQTT
05 01 2018 11:20,3.067,308.203,0.000,2.703,MQTT
05 01 2018 11:30,2.977,307.581,0.000,2.700,MQTT
05 01 2018 11:40,2.896,313.112,0.000,1.691,MQTT
05 01 2018 11:50,2.202,338.187,0.000,0.000,MQTT
05 01 2018 12:00,3.418,308.275,0.000,20.981,MQTT
05 01 2018 12:10,3.210,296.460,0.000,3.024,MQTT
05 01 2018 12:20,3.093,302.645,0.000,0.152,MQTT
05 01 2018 12:30,2.958,306.235,0.000,5.010,MQTT
05 01 2018 12:40,3.803,302.234,0.000,53.962,MQTT
05 01 2018 13:00,2.175,308.312,0.000,0.000,MQTT
05 01 2018 13:30,1.718,250.107,0.000,0.000,MQTT
05 01 2018 13:40,1.954,235.323,0.000,0.000,MQTT
05 01 2018 14:30,1.600,323.847,0.000,0.000,MQTT
05 01 2018 14:40,1.384,311.766,0.000,0.000,MQTT
05 01 2018 14:50,1.282,289.661,0.000,0.000,MQTT
05 01 2018 15:00,1.768,253.393,0.000,0.000,MQTT
05 01 2018 15:10,1.631,238.437,0.000,0.000,MQTT
05 01 2018 15:20,1.434,234.351,0.000,0.000,MQTT
05 01 2018 15:30,1.669,247.112,0.000,0.000,MQTT
05 01 2018 15:40,1.545,236.296,0.000,0.000,MQTT
05 01 2018 15:50,1.982,235.343,0.000,0.000,MQTT
05 01 2018 16:00,2.634,236.887,0.000,0.006,MQTT
05 01 2018 16:10,2.414,229.266,0.000,0.142,MQTT
05 01 2018 16:20,2.153,242.250,0.000,0.000,MQTT
05 01 2018 16:30,2.120,234.213,0.000,0.000,MQTT
05 01 2018 16:40,2.239,236.419,0.000,0.001,MQTT
05 01 2018 16:50,2.801,243.963,0.000,0.181,MQTT
05 01 2018 17:00,3.202,241.497,0.000,2.366,MQTT
05 01 2018 17:10,2.876,236.650,0.000,4.900,MQTT
05 01 2018 17:20,2.855,231.962,0.000,1.585,MQTT
05 01 2018 17:30,2.863,214.811,0.000,1.826,MQTT
05 01 2018 17:40,2.499,203.140,0.000,0.012,MQTT
05 01 2018 17:50,2.928,208.893,0.000,0.885,MQTT
05 01 2018 18:00,2.826,222.745,0.000,8.763,MQTT
05 01 2018 18:10,2.271,225.731,0.000,0.001,MQTT
05 01 2018 18:20,2.446,231.982,0.000,0.088,MQTT
05 01 2018 18:30,2.878,224.168,0.000,1.553,MQTT
05 01 2018 18:40,2.957,208.393,0.000,4.755,MQTT
05 01 2018 18:50,3.569,208.167,0.000,23.104,MQTT
05 01 2018 19:00,2.450,224.892,0.000,0.032,MQTT
05 01 2018 19:10,1.791,243.652,0.000,0.000,MQTT
05 01 2018 19:20,1.930,252.566,0.000,0.249,MQTT
05 01 2018 19:30,1.661,233.143,0.000,0.000,MQTT
05 01 2018 19:40,2.148,257.034,0.000,0.000,MQTT
05 01 2018 19:50,2.625,258.856,0.000,0.009,MQTT
05 01 2018 20:00,2.289,253.553,0.000,0.001,MQTT
05 01 2018 20:10,2.671,253.269,0.000,0.783,MQTT
05 01 2018 20:20,2.724,245.918,0.000,0.136,MQTT
05 01 2018 20:30,2.813,244.055,0.000,0.255,MQTT
05 01 2018 20:40,2.680,251.028,0.000,0.056,MQTT
01 01 2018 19:40,11.337,3378.826,3187.973,2919.302,CSV
01 01 2018 19:50,11.805,3488.249,3387.228,3215.401,CSV
01 01 2018 20:00,11.364,3386.244,3209.018,3146.196,CSV
01 01 2018 20:10,11.633,3452.881,3272.665,2844.304,CSV
01 01 2018 20:20,11.445,3407.868,3209.699,3122.135,CSV
01 01 2018 20:30,11.272,3360.226,3134.518,2849.105,CSV
01 01 2018 20:40,11.059,3292.881,2977.825,2298.584,CSV
01 01 2018 20:50,12.104,3537.174,3431.773,3304.964,CSV
01 01 2018 21:00,12.928,3597.469,3604.210,3503.125,CSV
01 01 2018 21:10,13.319,3600.000,3601.328,3535.943,CSV
01 01 2018 21:20,13.122,3600.000,3604.426,3531.103,CSV
01 01 2018 21:30,13.235,3600.000,3604.391,3520.291,CSV
01 01 2018 21:40,13.236,3600.000,3604.338,3524.489,CSV
01 01 2018 21:50,13.030,3600.000,3554.688,3484.060,CSV
01 01 2018 22:00,12.964,3597.795,3479.408,3502.499,CSV
01 01 2018 22:10,12.903,3597.131,3472.333,3504.695,CSV
01 01 2018 22:20,12.766,3593.705,3491.511,3510.470,CSV
01 01 2018 22:30,12.898,3597.060,3536.989,3520.774,CSV
01 01 2018 22:40,12.742,3592.814,3528.659,3494.291,CSV
01 01 2018 22:50,12.318,3562.990,3581.540,3298.243,CSV
01 01 2018 23:00,12.419,3572.556,3570.079,3387.193,CSV
01 01 2018 23:10,12.543,3582.205,3597.604,3410.745,CSV
01 01 2018 23:20,12.676,3589.946,3441.026,3426.935,CSV
01 01 2018 23:30,13.003,3600.000,3373.970,3506.861,CSV
01 01 2018 23:40,13.298,3600.000,3369.813,3522.213,CSV
01 01 2018 23:50,12.844,3595.985,3375.903,3475.177,CSV
02 01 2018 00:00,12.705,3591.301,3377.650,3372.753,CSV
02 01 2018 00:10,12.183,3547.628,3374.423,3356.561,CSV
02 01 2018 00:20,12.205,3550.307,3401.081,3336.956,CSV
02 01 2018 00:30,12.602,3585.959,3469.412,3184.073,CSV
02 01 2018 00:40,12.845,3595.996,3511.809,3482.530,CSV
02 01 2018 00:50,12.497,3578.912,3536.759,3446.876,CSV
02 01 2018 01:00,12.096,3536.105,3467.808,3438.678,CSV
02 01 2018 01:10,12.196,3549.207,3460.677,3393.208,CSV
02 01 2018 01:20,12.550,3582.703,3589.443,3434.964,CSV
02 01 2018 01:30,12.616,3586.763,3527.719,3435.380,CSV
02 01 2018 01:40,13.103,3600.000,3561.267,3516.862,CSV
02 01 2018 01:50,13.688,3600.000,3604.068,3524.943,CSV
02 01 2018 02:00,14.102,3600.000,3604.176,3538.934,CSV
02 01 2018 02:10,14.393,3600.000,3593.201,2032.261,CSV
02 01 2018 02:20,14.080,3600.000,3493.821,3508.894,CSV
02 01 2018 02:30,14.054,3600.000,3470.702,3443.409,CSV
02 01 2018 02:40,13.512,3600.000,3436.610,3154.563,CSV
02 01 2018 02:50,13.710,3600.000,3401.455,3520.459,CSV
02 01 2018 03:00,13.742,3600.000,3395.233,3564.194,CSV
02 01 2018 03:10,13.142,3600.000,3417.504,3533.559,CSV
02 01 2018 03:20,12.868,3596.505,3465.109,3504.666,CSV
02 01 2018 03:30,12.847,3596.060,3467.418,3473.278,CSV
02 01 2018 03:40,12.732,3592.422,3522.407,2989.370,CSV
02 01 2018 03:50,12.516,3580.323,3510.108,3430.395,CSV
02 01 2018 04:00,12.599,3585.767,3513.845,3445.898,CSV
02 01 2018 04:10,13.230,3600.000,3564.008,3159.327,CSV
02 01 2018 04:20,13.095,3600.000,3475.278,2982.931,CSV
02 01 2018 04:30,12.917,3597.329,3561.991,3504.695,CSV
02 01 2018 04:40,12.634,3587.763,3521.555,3473.987,CSV
02 01 2018 04:50,12.826,3595.524,3493.608,3476.057,CSV
02 01 2018 05:00,12.542,3582.111,3555.305,3450.369,CSV
02 01 2018 05:10,12.105,3537.338,3377.128,3306.055,CSV
02 01 2018 05:20,12.363,3567.395,3479.627,3103.259,CSV
02 01 2018 05:30,12.604,3586.079,3539.112,3449.006,CSV
02 01 2018 05:40,12.212,3551.162,3430.436,3393.682,CSV
02 01 2018 05:50,11.988,3520.012,3301.918,3292.753,CSV
02 01 2018 06:00,11.679,3463.031,3235.544,3225.509,CSV
02 01 2018 06:10,12.470,3576.798,3519.023,3333.250,CSV
02 01 2018 06:20,12.495,3578.749,3469.537,3487.463,CSV
02 01 2018 06:30,11.790,3485.418,3296.186,3199.564,CSV
02 01 2018 06:40,10.904,3237.315,3045.510,2826.615,CSV
02 01 2018 06:50,12.188,3548.215,3444.742,3352.374,CSV
02 01 2018 07:00,11.978,3518.508,3417.746,3292.262,CSV
